model_index,rmspe,tau
0,0.9274039342741521,1.260070770069638
0,0.9792992433728099,1.2163812311323758
0,1.0121548512592289,1.2320231580925183
0,0.9342396564762143,1.2513563443060407
0,1.0428048189002983,1.2531267758850193
0,0.8979616617702942,1.2425750058336997
0,0.912545811687072,1.2002880995981555
0,1.0110355303487073,1.2130873714233221
0,0.9709256413337065,1.2076555462976821
0,0.9748314397507772,1.2286307471204
0,0.943593832227097,1.2331535255034436
0,0.9153713075894271,1.223475793164783
0,0.9372575482563262,1.2214787953844313
0,0.9476194361645842,1.2331925499121903
0,0.9436644727168618,1.2388698687514481
0,0.9659558487524716,1.248333659797447
0,0.9925678158452892,1.2252128937743185
0,0.9883201351206989,1.222359929952361
0,0.9362860343896445,1.2202545647906493
0,1.1003720046004732,1.2295036186563888
0,0.9826936071039605,1.229257614265822
0,0.9264901663378546,1.222333485148513
0,0.9505099328074824,1.252204898231185
0,0.9610938764851917,1.216748390015012
0,0.9460874001162256,1.2287979771456194
0,1.1044099428528702,1.2444338981166005
0,1.0026741248890174,1.2234711619077805
0,0.9552911391843729,1.2214457406132597
0,0.9171702882770105,1.2323530583480136
0,0.9509366989414221,1.2285238177640172
0,0.9732641253792879,1.2143497732951656
0,0.9768955833010321,1.2241681475536597
0,0.9306254232778354,1.2463207660646356
0,0.968821054316974,1.2288886592946817
0,0.9378577604161502,1.211757313762066
0,0.9596186633241856,1.2370844312227225
0,0.9424461470852428,1.2293698748229402
0,0.962690597312396,1.2270516874187498
0,0.9544403251699312,1.2285299137004404
0,1.0413970483277994,1.2400066985597236
0,0.9728293563079065,1.226850451210948
0,0.9921736667717738,1.240578901128412
0,0.9496297929949112,1.2296833710275972
0,0.9418677934789036,1.2272554827453719
0,0.8958956399404993,1.210657234090883
0,0.9538419254062271,1.2305898590867037
0,1.0662188271254716,1.2370006545242789
0,0.9809187669875898,1.228079897721829
0,0.9789882740669625,1.2453290670871915
0,0.952771140455643,1.2215507701111987
